id;BSSID;SSID;AvgRSSI;LocationID
202;80:e0:1d:ee:3f:64;eduroam;-77;4
203;80:e0:1d:ee:3f:60;LakeheadU;-77;4
204;80:e0:1d:ee:3f:61;LU-Guest;-77;4
205;80:e0:1d:ee:3f:62;LU-Events;-76;4
206;a4:6c:2a:d4:bf:1f;LU-Guest;-40;4
207;a4:6c:2a:d4:bf:1d;eduroam;-40;4
208;a4:6c:2a:d4:bf:1e;LakeheadU;-39;4
209;a4:6c:2a:d4:bf:1b;Free Tbaytel WiFi;-49;4
210;a4:6c:2a:d4:bf:1c;LU-Events;-39;4
211;80:e0:1d:e6:79:d2;eduroam;-74;4
212;80:e0:1d:e6:79:d1;LakeheadU;-74;4
213;80:e0:1d:e6:79:d0;LU-Guest;-74;4
214;80:e0:1d:e6:79:d4;Free Tbaytel WiFi;-75;4
215;80:e0:1d:e6:79:d3;LU-Events;-74;4
216;00:42:68:59:8b:f0;LU-Guest;-77;4
217;80:e0:1d:e6:79:db;Free Tbaytel WiFi;-79;4
218;80:e0:1d:e6:79:df;LU-Guest;-79;4
219;80:e0:1d:e6:79:de;LakeheadU;-78;4
220;80:e0:1d:e6:79:dd;eduroam;-79;4
221;80:e0:1d:e6:79:dc;LU-Events;-78;4
222;80:e0:1d:ee:3f:6c;Free Tbaytel WiFi;-87;4
223;80:e0:1d:ee:3f:6e;LU-Guest;-88;4
224;80:e0:1d:ee:3f:6f;LakeheadU;-88;4
225;aa:53:22:40:4e:05;NOSMConnect;-92;4
226;a4:6c:2a:d4:bf:14;Free Tbaytel WiFi;-46;4
227;a4:6c:2a:d4:bf:12;eduroam;-46;4
228;a4:6c:2a:d4:bf:13;LU-Events;-44;4
229;a4:6c:2a:d4:bf:10;LU-Guest;-46;4
230;a4:6c:2a:d4:bf:11;LakeheadU;-47;4
231;a2:53:22:40:4e:05;NOSMSecure;-92;5
232;a6:53:22:40:4f:7a;eduroam;-87;5
233;80:e0:1d:ee:40:54;Free Tbaytel WiFi;-83;5
234;80:e0:1d:ee:40:53;LU-Events;-88;5
235;a4:6c:2a:d4:ba:53;LU-Events;-81;5
236;a4:6c:2a:d4:ba:54;Free Tbaytel WiFi;-80;5
237;a4:6c:2a:d4:ba:50;LU-Guest;-81;5
238;ac:7a:56:c8:62:0f;LakeheadU;-84;5
239;ac:7a:56:c8:62:0d;;-84;5
240;ac:7a:56:c8:62:0e;LU-Events;-84;5
241;ac:7a:56:c8:62:0b;;-84;5
242;ac:7a:56:c8:62:0c;LU-Guest;-84;5
243;ac:7a:56:c8:62:00;LakeheadU;-81;5
244;ac:7a:56:c8:62:03;LU-Guest;-80;5
245;00:42:68:59:8b:ff;LU-Guest;-87;5
246;00:42:68:59:8b:fc;LU-Events;-86;5
247;00:42:68:59:8b:fb;Free Tbaytel WiFi;-87;5
248;00:42:68:59:8b:fe;LakeheadU;-88;5
249;80:e0:1d:ee:3f:63;Free Tbaytel WiFi;-77;5
250;80:e0:1d:ee:3f:64;eduroam;-77;5
251;80:e0:1d:ee:3f:60;LakeheadU;-77;5
252;80:e0:1d:ee:3f:61;LU-Guest;-77;5
253;80:e0:1d:ee:3f:62;LU-Events;-76;5
254;a4:6c:2a:d4:bf:1f;LU-Guest;-40;5
255;a4:6c:2a:d4:bf:1d;eduroam;-40;5
256;a4:6c:2a:d4:bf:1e;LakeheadU;-39;5
257;a4:6c:2a:d4:bf:1b;Free Tbaytel WiFi;-49;5
258;a4:6c:2a:d4:bf:1c;LU-Events;-39;5
259;80:e0:1d:e6:79:d2;eduroam;-74;5
260;80:e0:1d:e6:79:d1;LakeheadU;-74;5
261;80:e0:1d:e6:79:d0;LU-Guest;-74;5
262;80:e0:1d:e6:79:d4;Free Tbaytel WiFi;-75;5
263;80:e0:1d:e6:79:d3;LU-Events;-74;5
264;00:42:68:59:8b:f0;LU-Guest;-77;5
265;80:e0:1d:e6:79:db;Free Tbaytel WiFi;-79;5
266;80:e0:1d:e6:79:df;LU-Guest;-79;5
267;80:e0:1d:e6:79:de;LakeheadU;-78;5
